sample,alias,SRASample,BioSample,SRAStudy,study,NCBI_taxon_ID,NCBI_taxon_name,ORFs_filenames,Assemblies_filenames
MH0289,MH0289,ERS328941,SAMEA1972188,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0289.scaftig.more500.corrected.break.fa.more100.fa,MH0289.scaftig.more500.corrected.break.fa
MH0290,MH0290,ERS396315,SAMEA2338645,ERP004605,Current study,408170,human gut metagenome,MH0290.scaftig.more500.corrected.break.fa.more100.fa,MH0290.scaftig.more500.corrected.break.fa
MH0292,MH0292,ERS328942,SAMEA2161657,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0292.scaftig.more500.corrected.break.fa.more100.fa,MH0292.scaftig.more500.corrected.break.fa
MH0293,MH293,ERS396316,SAMEA2338646,ERP004605,Current study,408170,human gut metagenome,MH0293.scaftig.more500.corrected.break.fa.more100.fa,MH293.scaftig.more500.corrected.break.fa
MH0297,MH0297,ERS396317,SAMEA2338647,ERP004605,Current study,408170,human gut metagenome,MH0297.scaftig.more500.corrected.break.fa.more100.fa,MH0297.scaftig.more500.corrected.break.fa
MH0298,MH0298,ERS396318,SAMEA2338648,ERP004605,Current study,408170,human gut metagenome,MH0298.scaftig.more500.corrected.break.fa.more100.fa,MH0298.scaftig.more500.corrected.break.fa
MH0299,MH299,ERS396319,SAMEA2338649,ERP004605,Current study,408170,human gut metagenome,MH0299.scaftig.more500.corrected.break.fa.more100.fa,MH299.scaftig.more500.corrected.break.fa
MH0301,MH0301,ERS396320,SAMEA2338650,ERP004605,Current study,408170,human gut metagenome,MH0301.scaftig.more500.corrected.break.fa.more100.fa,MH0301.scaftig.more500.corrected.break.fa
MH0302,MH0302,ERS328943,SAMEA2152063,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0302.scaftig.more500.corrected.break.fa.more100.fa,MH0302.scaftig.more500.corrected.break.fa
MH0303,MH303,ERS396321,SAMEA2338651,ERP004605,Current study,408170,human gut metagenome,MH0303.scaftig.more500.corrected.break.fa.more100.fa,MH303.scaftig.more500.corrected.break.fa
MH0305,MH0305,ERS328944,SAMEA2156577,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0305.scaftig.more500.corrected.break.fa.more100.fa,MH0305.scaftig.more500.corrected.break.fa
MH0307,MH0307,ERS328945,SAMEA1971210,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0307.scaftig.more500.corrected.break.fa.more100.fa,MH0307.scaftig.more500.corrected.break.fa
MH0308,MH0308,ERS396322,SAMEA2338652,ERP004605,Current study,408170,human gut metagenome,MH0308.scaftig.more500.corrected.break.fa.more100.fa,MH0308.scaftig.more500.corrected.break.fa
MH0309,MH309,ERS396323,SAMEA2338653,ERP004605,Current study,408170,human gut metagenome,MH0309.scaftig.more500.corrected.break.fa.more100.fa,MH309.scaftig.more500.corrected.break.fa
MH0310,MH0310,ERS396324,SAMEA2338654,ERP004605,Current study,408170,human gut metagenome,MH0310.scaftig.more500.corrected.break.fa.more100.fa,MH0310.scaftig.more500.corrected.break.fa
MH0311,MH311,ERS396325,SAMEA2338655,ERP004605,Current study,408170,human gut metagenome,MH0311.scaftig.more500.corrected.break.fa.more100.fa,MH311.scaftig.more500.corrected.break.fa
MH0313,MH0313,ERS328946,SAMEA2160902,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0313.scaftig.more500.corrected.break.fa.more100.fa,MH0313.scaftig.more500.corrected.break.fa
MH0314,MH0314,ERS396326,SAMEA2338656,ERP004605,Current study,408170,human gut metagenome,MH0314.scaftig.more500.corrected.break.fa.more100.fa,MH0314.scaftig.more500.corrected.break.fa
MH0315,MH0315,ERS396327,SAMEA2338657,ERP004605,Current study,408170,human gut metagenome,MH0315.scaftig.more500.corrected.break.fa.more100.fa,MH0315.scaftig.more500.corrected.break.fa
MH0316,MH0316,ERS328947,SAMEA2159032,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0316.scaftig.more500.corrected.break.fa.more100.fa,MH0316.scaftig.more500.corrected.break.fa
MH0318,MH0318,ERS328948,SAMEA2158542,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0318.scaftig.more500.corrected.break.fa.more100.fa,MH0318.scaftig.more500.corrected.break.fa
MH0319,MH0319,ERS396328,SAMEA2338658,ERP004605,Current study,408170,human gut metagenome,MH0319.scaftig.more500.corrected.break.fa.more100.fa,MH0319.scaftig.more500.corrected.break.fa
MH0321,MH0321,ERS328949,SAMEA2149794,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0321.scaftig.more500.corrected.break.fa.more100.fa,MH0321.scaftig.more500.corrected.break.fa
MH0322,MH0322,ERS328950,SAMEA2162573,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0322.scaftig.more500.corrected.break.fa.more100.fa,MH0322.scaftig.more500.corrected.break.fa
MH0323,MH0323,ERS396329,SAMEA2338659,ERP004605,Current study,408170,human gut metagenome,MH0323.scaftig.more500.corrected.break.fa.more100.fa,MH0323.scaftig.more500.corrected.break.fa
MH0325,MH325,ERS396330,SAMEA2338660,ERP004605,Current study,408170,human gut metagenome,MH0325.scaftig.more500.corrected.break.fa.more100.fa,MH325.scaftig.more500.corrected.break.fa
MH0326,MH0326,ERS396331,SAMEA2338661,ERP004605,Current study,408170,human gut metagenome,MH0326.scaftig.more500.corrected.break.fa.more100.fa,MH0326.scaftig.more500.corrected.break.fa
MH0327,MH327,ERS396332,SAMEA2338662,ERP004605,Current study,408170,human gut metagenome,MH0327.scaftig.more500.corrected.break.fa.more100.fa,MH327.scaftig.more500.corrected.break.fa
MH0328,MH328,ERS396333,SAMEA2338663,ERP004605,Current study,408170,human gut metagenome,MH0328.scaftig.more500.corrected.break.fa.more100.fa,MH328.scaftig.more500.corrected.break.fa
MH0329,MH0329,ERS396334,SAMEA2338664,ERP004605,Current study,408170,human gut metagenome,MH0329.scaftig.more500.corrected.break.fa.more100.fa,MH0329.scaftig.more500.corrected.break.fa
MH0330,MH0330,ERS396335,SAMEA2338665,ERP004605,Current study,408170,human gut metagenome,MH0330.scaftig.more500.corrected.break.fa.more100.fa,MH0330.scaftig.more500.corrected.break.fa
MH0332,MH0332,ERS396336,SAMEA2338666,ERP004605,Current study,408170,human gut metagenome,MH0332.scaftig.more500.corrected.break.fa.more100.fa,MH0332.scaftig.more500.corrected.break.fa
MH0333,MH0333,ERS328951,SAMEA2153251,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0333.scaftig.more500.corrected.break.fa.more100.fa,MH0333.scaftig.more500.corrected.break.fa
MH0334,MH0334,ERS396337,SAMEA2338667,ERP004605,Current study,408170,human gut metagenome,MH0334.scaftig.more500.corrected.break.fa.more100.fa,MH0334.scaftig.more500.corrected.break.fa
MH0335,MH0335,ERS396338,SAMEA2338668,ERP004605,Current study,408170,human gut metagenome,MH0335.scaftig.more500.corrected.break.fa.more100.fa,MH0335.scaftig.more500.corrected.break.fa
MH0336,MH336,ERS396339,SAMEA2338669,ERP004605,Current study,408170,human gut metagenome,MH0336.scaftig.more500.corrected.break.fa.more100.fa,MH336.scaftig.more500.corrected.break.fa
MH0337,MH337,ERS396340,SAMEA2338670,ERP004605,Current study,408170,human gut metagenome,MH0337.scaftig.more500.corrected.break.fa.more100.fa,MH337.scaftig.more500.corrected.break.fa
MH0338,MH338,ERS396341,SAMEA2338671,ERP004605,Current study,408170,human gut metagenome,MH0338.scaftig.more500.corrected.break.fa.more100.fa,MH338.scaftig.more500.corrected.break.fa
MH0339,MH339,ERS396342,SAMEA2338672,ERP004605,Current study,408170,human gut metagenome,MH0339.scaftig.more500.corrected.break.fa.more100.fa,MH339.scaftig.more500.corrected.break.fa
MH0340,MH0340,ERS396343,SAMEA2338673,ERP004605,Current study,408170,human gut metagenome,MH0340.scaftig.more500.corrected.break.fa.more100.fa,MH0340.scaftig.more500.corrected.break.fa
MH0341,MH341,ERS396344,SAMEA2338674,ERP004605,Current study,408170,human gut metagenome,MH0341.scaftig.more500.corrected.break.fa.more100.fa,MH341.scaftig.more500.corrected.break.fa
MH0342,MH342,ERS396345,SAMEA2338675,ERP004605,Current study,408170,human gut metagenome,MH0342.scaftig.more500.corrected.break.fa.more100.fa,MH342.scaftig.more500.corrected.break.fa
MH0343,MH343,ERS396346,SAMEA2338676,ERP004605,Current study,408170,human gut metagenome,MH0343.scaftig.more500.corrected.break.fa.more100.fa,MH343.scaftig.more500.corrected.break.fa
MH0345,MH345,ERS396347,SAMEA2338677,ERP004605,Current study,408170,human gut metagenome,MH0345.scaftig.more500.corrected.break.fa.more100.fa,MH345.scaftig.more500.corrected.break.fa
MH0346,MH346,ERS396348,SAMEA2338678,ERP004605,Current study,408170,human gut metagenome,MH0346.scaftig.more500.corrected.break.fa.more100.fa,MH346.scaftig.more500.corrected.break.fa
MH0347,MH0347,ERS396349,SAMEA2338679,ERP004605,Current study,408170,human gut metagenome,MH0347.scaftig.more500.corrected.break.fa.more100.fa,MH0347.scaftig.more500.corrected.break.fa
MH0348,MH0348,ERS396350,SAMEA2338680,ERP004605,Current study,408170,human gut metagenome,MH0348.scaftig.more500.corrected.break.fa.more100.fa,MH0348.scaftig.more500.corrected.break.fa
MH0349,MH349,ERS396351,SAMEA2338681,ERP004605,Current study,408170,human gut metagenome,MH0349.scaftig.more500.corrected.break.fa.more100.fa,MH349.scaftig.more500.corrected.break.fa
MH0350,MH350,ERS396352,SAMEA2338682,ERP004605,Current study,408170,human gut metagenome,MH0350.scaftig.more500.corrected.break.fa.more100.fa,MH350.scaftig.more500.corrected.break.fa
MH0351,MH0351,ERS396353,SAMEA2338683,ERP004605,Current study,408170,human gut metagenome,MH0351.scaftig.more500.corrected.break.fa.more100.fa,MH0351.scaftig.more500.corrected.break.fa
MH0354,MH0354,ERS396354,SAMEA2338684,ERP004605,Current study,408170,human gut metagenome,MH0354.scaftig.more500.corrected.break.fa.more100.fa,MH0354.scaftig.more500.corrected.break.fa
MH0355,MH355,ERS396355,SAMEA2338685,ERP004605,Current study,408170,human gut metagenome,MH0355.scaftig.more500.corrected.break.fa.more100.fa,MH355.scaftig.more500.corrected.break.fa
MH0356,MH0356,ERS396356,SAMEA2338686,ERP004605,Current study,408170,human gut metagenome,MH0356.scaftig.more500.corrected.break.fa.more100.fa,MH0356.scaftig.more500.corrected.break.fa
MH0357,MH357,ERS396357,SAMEA2338687,ERP004605,Current study,408170,human gut metagenome,MH0357.scaftig.more500.corrected.break.fa.more100.fa,MH357.scaftig.more500.corrected.break.fa
MH0358,MH358,ERS396358,SAMEA2338688,ERP004605,Current study,408170,human gut metagenome,MH0358.scaftig.more500.corrected.break.fa.more100.fa,MH358.scaftig.more500.corrected.break.fa
MH0359,MH359,ERS396359,SAMEA2338689,ERP004605,Current study,408170,human gut metagenome,MH0359.scaftig.more500.corrected.break.fa.more100.fa,MH359.scaftig.more500.corrected.break.fa
MH0360,MH360,ERS396360,SAMEA2338690,ERP004605,Current study,408170,human gut metagenome,MH0360.scaftig.more500.corrected.break.fa.more100.fa,MH360.scaftig.more500.corrected.break.fa
MH0361,MH361,ERS396361,SAMEA2338691,ERP004605,Current study,408170,human gut metagenome,MH0361.scaftig.more500.corrected.break.fa.more100.fa,MH361.scaftig.more500.corrected.break.fa
MH0362,MH362,ERS396362,SAMEA2338692,ERP004605,Current study,408170,human gut metagenome,MH0362.scaftig.more500.corrected.break.fa.more100.fa,MH362.scaftig.more500.corrected.break.fa
MH0363,MH363,ERS396363,SAMEA2338693,ERP004605,Current study,408170,human gut metagenome,MH0363.scaftig.more500.corrected.break.fa.more100.fa,MH363.scaftig.more500.corrected.break.fa
MH0364,MH0364,ERS396364,SAMEA2338694,ERP004605,Current study,408170,human gut metagenome,MH0364.scaftig.more500.corrected.break.fa.more100.fa,MH0364.scaftig.more500.corrected.break.fa
MH0365,MH0365,ERS396365,SAMEA2338695,ERP004605,Current study,408170,human gut metagenome,MH0365.scaftig.more500.corrected.break.fa.more100.fa,MH0365.scaftig.more500.corrected.break.fa
MH0366,MH0366,ERS396366,SAMEA2338696,ERP004605,Current study,408170,human gut metagenome,MH0366.scaftig.more500.corrected.break.fa.more100.fa,MH0366.scaftig.more500.corrected.break.fa
MH0367,MH367,ERS396367,SAMEA2338697,ERP004605,Current study,408170,human gut metagenome,MH0367.scaftig.more500.corrected.break.fa.more100.fa,MH367.scaftig.more500.corrected.break.fa
MH0368,MH368,ERS396368,SAMEA2338698,ERP004605,Current study,408170,human gut metagenome,MH0368.scaftig.more500.corrected.break.fa.more100.fa,MH368.scaftig.more500.corrected.break.fa
MH0369,MH0369,ERS396369,SAMEA2338699,ERP004605,Current study,408170,human gut metagenome,MH0369.scaftig.more500.corrected.break.fa.more100.fa,MH0369.scaftig.more500.corrected.break.fa
MH0370,MH370,ERS396370,SAMEA2338700,ERP004605,Current study,408170,human gut metagenome,MH0370.scaftig.more500.corrected.break.fa.more100.fa,MH370.scaftig.more500.corrected.break.fa
MH0371,MH371,ERS396371,SAMEA2338701,ERP004605,Current study,408170,human gut metagenome,MH0371.scaftig.more500.corrected.break.fa.more100.fa,MH371.scaftig.more500.corrected.break.fa
MH0372,MH372,ERS396372,SAMEA2338702,ERP004605,Current study,408170,human gut metagenome,MH0372.scaftig.more500.corrected.break.fa.more100.fa,MH372.scaftig.more500.corrected.break.fa
MH0373,MH373,ERS396373,SAMEA2338703,ERP004605,Current study,408170,human gut metagenome,MH0373.scaftig.more500.corrected.break.fa.more100.fa,MH373.scaftig.more500.corrected.break.fa
MH0374,MH374,ERS396374,SAMEA2338704,ERP004605,Current study,408170,human gut metagenome,MH0374.scaftig.more500.corrected.break.fa.more100.fa,MH374.scaftig.more500.corrected.break.fa
MH0375,MH0375,ERS396375,SAMEA2338705,ERP004605,Current study,408170,human gut metagenome,MH0375.scaftig.more500.corrected.break.fa.more100.fa,MH0375.scaftig.more500.corrected.break.fa
MH0376,MH376,ERS396376,SAMEA2338706,ERP004605,Current study,408170,human gut metagenome,MH0376.scaftig.more500.corrected.break.fa.more100.fa,MH376.scaftig.more500.corrected.break.fa
MH0377,MH377,ERS396377,SAMEA2338707,ERP004605,Current study,408170,human gut metagenome,MH0377.scaftig.more500.corrected.break.fa.more100.fa,MH377.scaftig.more500.corrected.break.fa
MH0378,MH378,ERS396378,SAMEA2338708,ERP004605,Current study,408170,human gut metagenome,MH0378.scaftig.more500.corrected.break.fa.more100.fa,MH378.scaftig.more500.corrected.break.fa
MH0379,MH379,ERS396379,SAMEA2338709,ERP004605,Current study,408170,human gut metagenome,MH0379.scaftig.more500.corrected.break.fa.more100.fa,MH379.scaftig.more500.corrected.break.fa
MH0381,MH0381,ERS396380,SAMEA2338710,ERP004605,Current study,408170,human gut metagenome,MH0381.scaftig.more500.corrected.break.fa.more100.fa,MH0381.scaftig.more500.corrected.break.fa
MH0382,MH0382,ERS396381,SAMEA2338711,ERP004605,Current study,408170,human gut metagenome,MH0382.scaftig.more500.corrected.break.fa.more100.fa,MH0382.scaftig.more500.corrected.break.fa
MH0383,MH383,ERS396382,SAMEA2338712,ERP004605,Current study,408170,human gut metagenome,MH0383.scaftig.more500.corrected.break.fa.more100.fa,MH383.scaftig.more500.corrected.break.fa
MH0384,MH384,ERS396383,SAMEA2338713,ERP004605,Current study,408170,human gut metagenome,MH0384.scaftig.more500.corrected.break.fa.more100.fa,MH384.scaftig.more500.corrected.break.fa
MH0385,MH385,ERS396384,SAMEA2338714,ERP004605,Current study,408170,human gut metagenome,MH0385.scaftig.more500.corrected.break.fa.more100.fa,MH385.scaftig.more500.corrected.break.fa
MH0386,MH386,ERS396385,SAMEA2338715,ERP004605,Current study,408170,human gut metagenome,MH0386.scaftig.more500.corrected.break.fa.more100.fa,MH386.scaftig.more500.corrected.break.fa
MH0387,MH387,ERS396386,SAMEA2338716,ERP004605,Current study,408170,human gut metagenome,MH0387.scaftig.more500.corrected.break.fa.more100.fa,MH387.scaftig.more500.corrected.break.fa
MH0388,MH0388,ERS396387,SAMEA2338717,ERP004605,Current study,408170,human gut metagenome,MH0388.scaftig.more500.corrected.break.fa.more100.fa,MH0388.scaftig.more500.corrected.break.fa
MH0389,MH0389,ERS396388,SAMEA2338718,ERP004605,Current study,408170,human gut metagenome,MH0389.scaftig.more500.corrected.break.fa.more100.fa,MH0389.scaftig.more500.corrected.break.fa
MH0390,MH390,ERS396389,SAMEA2338719,ERP004605,Current study,408170,human gut metagenome,MH0390.scaftig.more500.corrected.break.fa.more100.fa,MH390.scaftig.more500.corrected.break.fa
MH0391,MH391,ERS396390,SAMEA2338720,ERP004605,Current study,408170,human gut metagenome,MH0391.scaftig.more500.corrected.break.fa.more100.fa,MH391.scaftig.more500.corrected.break.fa
MH0392,MH392,ERS396391,SAMEA2338721,ERP004605,Current study,408170,human gut metagenome,MH0392.scaftig.more500.corrected.break.fa.more100.fa,MH392.scaftig.more500.corrected.break.fa
MH0393,MH0393,ERS396392,SAMEA2338722,ERP004605,Current study,408170,human gut metagenome,MH0393.scaftig.more500.corrected.break.fa.more100.fa,MH0393.scaftig.more500.corrected.break.fa
MH0394,MH394,ERS396393,SAMEA2338723,ERP004605,Current study,408170,human gut metagenome,MH0394.scaftig.more500.corrected.break.fa.more100.fa,MH394.scaftig.more500.corrected.break.fa
MH0395,MH395,ERS396394,SAMEA2338724,ERP004605,Current study,408170,human gut metagenome,MH0395.scaftig.more500.corrected.break.fa.more100.fa,MH395.scaftig.more500.corrected.break.fa
MH0396,MH0396,ERS396395,SAMEA2338725,ERP004605,Current study,408170,human gut metagenome,MH0396.scaftig.more500.corrected.break.fa.more100.fa,MH0396.scaftig.more500.corrected.break.fa
MH0397,MH0397,ERS396396,SAMEA2338726,ERP004605,Current study,408170,human gut metagenome,MH0397.scaftig.more500.corrected.break.fa.more100.fa,MH0397.scaftig.more500.corrected.break.fa
MH0398,MH0398,ERS396397,SAMEA2338727,ERP004605,Current study,408170,human gut metagenome,MH0398.scaftig.more500.corrected.break.fa.more100.fa,MH0398.scaftig.more500.corrected.break.fa
MH0399,MH0399,ERS396398,SAMEA2338728,ERP004605,Current study,408170,human gut metagenome,MH0399.scaftig.more500.corrected.break.fa.more100.fa,MH0399.scaftig.more500.corrected.break.fa
MH0400,MH0400,ERS396399,SAMEA2338729,ERP004605,Current study,408170,human gut metagenome,MH0400.scaftig.more500.corrected.break.fa.more100.fa,MH0400.scaftig.more500.corrected.break.fa
MH0401,MH0401,ERS396400,SAMEA2338730,ERP004605,Current study,408170,human gut metagenome,MH0401.scaftig.more500.corrected.break.fa.more100.fa,MH0401.scaftig.more500.corrected.break.fa
MH0402,MH0402,ERS396401,SAMEA2338731,ERP004605,Current study,408170,human gut metagenome,MH0402.scaftig.more500.corrected.break.fa.more100.fa,MH0402.scaftig.more500.corrected.break.fa
MH0403,MH0403,ERS328952,SAMEA2142970,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0403.scaftig.more500.corrected.break.fa.more100.fa,MH0403.scaftig.more500.corrected.break.fa
MH0404,MH0404,ERS328953,SAMEA2149228,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0404.scaftig.more500.corrected.break.fa.more100.fa,MH0404.scaftig.more500.corrected.break.fa
MH0405,MH0405,ERS328954,SAMEA2147036,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0405.scaftig.more500.corrected.break.fa.more100.fa,MH0405.scaftig.more500.corrected.break.fa
MH0406,MH0406,ERS328955,SAMEA2160490,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0406.scaftig.more500.corrected.break.fa.more100.fa,MH0406.scaftig.more500.corrected.break.fa
MH0407,MH0407,ERS328956,SAMEA2158468,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0407.scaftig.more500.corrected.break.fa.more100.fa,MH0407.scaftig.more500.corrected.break.fa
MH0408,MH0408,ERS328957,SAMEA2145365,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0408.scaftig.more500.corrected.break.fa.more100.fa,MH0408.scaftig.more500.corrected.break.fa
MH0409,MH0409,ERS328958,SAMEA2152521,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0409.scaftig.more500.corrected.break.fa.more100.fa,MH0409.scaftig.more500.corrected.break.fa
MH0410,MH0410,ERS328959,SAMEA2155520,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0410.scaftig.more500.corrected.break.fa.more100.fa,MH0410.scaftig.more500.corrected.break.fa
MH0411,MH0411,ERS328960,SAMEA2159162,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0411.scaftig.more500.corrected.break.fa.more100.fa,MH0411.scaftig.more500.corrected.break.fa
MH0412,MH0412,ERS328961,SAMEA1972381,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0412.scaftig.more500.corrected.break.fa.more100.fa,MH0412.scaftig.more500.corrected.break.fa
MH0413,MH0413,ERS328962,SAMEA2143863,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0413.scaftig.more500.corrected.break.fa.more100.fa,MH0413.scaftig.more500.corrected.break.fa
MH0414,MH0414,ERS328963,SAMEA1967319,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0414.scaftig.more500.corrected.break.fa.more100.fa,MH0414.scaftig.more500.corrected.break.fa
MH0415,MH0415,ERS328964,SAMEA2160616,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0415.scaftig.more500.corrected.break.fa.more100.fa,MH0415.scaftig.more500.corrected.break.fa
MH0416,MH0416,ERS328965,SAMEA2154561,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0416.scaftig.more500.corrected.break.fa.more100.fa,MH0416.scaftig.more500.corrected.break.fa
MH0417,MH0417,ERS328966,SAMEA2144555,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0417.scaftig.more500.corrected.break.fa.more100.fa,MH0417.scaftig.more500.corrected.break.fa
MH0418,MH0418,ERS328967,SAMEA2144304,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0418.scaftig.more500.corrected.break.fa.more100.fa,MH0418.scaftig.more500.corrected.break.fa
MH0419,MH0419,ERS328968,SAMEA2162811,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0419.scaftig.more500.corrected.break.fa.more100.fa,MH0419.scaftig.more500.corrected.break.fa
MH0420,MH0420,ERS328969,SAMEA2154036,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0420.scaftig.more500.corrected.break.fa.more100.fa,MH0420.scaftig.more500.corrected.break.fa
MH0421,MH0421,ERS328970,SAMEA2151703,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0421.scaftig.more500.corrected.break.fa.more100.fa,MH0421.scaftig.more500.corrected.break.fa
MH0422,MH0422,ERS328971,SAMEA2151007,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0422.scaftig.more500.corrected.break.fa.more100.fa,MH0422.scaftig.more500.corrected.break.fa
MH0423,MH0423,ERS328972,SAMEA2155093,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0423.scaftig.more500.corrected.break.fa.more100.fa,MH0423.scaftig.more500.corrected.break.fa
MH0424,MH0424,ERS328973,SAMEA2145815,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0424.scaftig.more500.corrected.break.fa.more100.fa,MH0424.scaftig.more500.corrected.break.fa
MH0425,MH0425,ERS328974,SAMEA2162844,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0425.scaftig.more500.corrected.break.fa.more100.fa,MH0425.scaftig.more500.corrected.break.fa
MH0426,MH0426,ERS328975,SAMEA2150234,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0426.scaftig.more500.corrected.break.fa.more100.fa,MH0426.scaftig.more500.corrected.break.fa
MH0427,MH0427,ERS328976,SAMEA2144223,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0427.scaftig.more500.corrected.break.fa.more100.fa,MH0427.scaftig.more500.corrected.break.fa
MH0428,MH0428,ERS328977,SAMEA2155512,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0428.scaftig.more500.corrected.break.fa.more100.fa,MH0428.scaftig.more500.corrected.break.fa
MH0429,MH0429,ERS328978,SAMEA2157977,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0429.scaftig.more500.corrected.break.fa.more100.fa,MH0429.scaftig.more500.corrected.break.fa
MH0430,MH0430,ERS328979,SAMEA2159338,ERP003612,"Le Chatelier, E. et al. Richness of human gut microbiome correlates with metabolic markers. Nature 500, 541–546 (2013).",408170,human gut metagenome,MH0430.scaftig.more500.corrected.break.fa.more100.fa,MH0430.scaftig.more500.corrected.break.fa
